2015-05-20 17:35:23	SQLSTATE[HY000] [1130] Host 'fc41.com' is not allowed to connect to this MySQL server
2015-05-20 17:35:36	SQLSTATE[HY000] [1130] Host 'fc41.com' is not allowed to connect to this MySQL server
2015-05-20 17:46:48	SQLSTATE[HY000] [1130] Host 'fc41.com' is not allowed to connect to this MySQL server
2015-05-20 18:03:36	成功插入92条数据!
2015-05-20 18:03:36	成功插入208条数据!
2015-05-20 18:03:36	成功插入205条数据!
2015-05-20 18:03:36	成功插入206条数据!
2015-05-20 18:03:36	成功插入204条数据!
2015-05-20 18:15:28	成功插入92条数据!
2015-05-20 18:15:28	成功插入208条数据!
2015-05-20 18:15:28	成功插入201条数据!
2015-05-20 18:15:28	成功插入210条数据!
2015-05-20 18:15:28	成功插入204条数据!
2015-05-20 18:40:41	成功插入92条数据!
2015-05-20 18:40:41	成功插入199条数据!
2015-05-20 18:40:41	成功插入205条数据!
2015-05-20 18:40:41	成功插入213条数据!
2015-05-20 18:40:41	成功插入206条数据!
2015-05-20 18:44:00	成功插入142条数据!
2015-05-20 18:44:00	成功插入359条数据!
2015-05-20 18:44:00	成功插入374条数据!
2015-05-20 18:44:00	成功插入368条数据!
2015-05-20 18:44:00	成功插入354条数据!
2015-05-20 18:44:43	成功插入142条数据!
2015-05-20 18:44:43	成功插入360条数据!
2015-05-20 18:44:44	成功插入374条数据!
2015-05-20 18:44:44	成功插入368条数据!
2015-05-20 18:44:44	成功插入354条数据!
